hasIpAddress,hasAtSymbol,isLong,depth,hasPointInDomain,hasNumberInDomain,isShortened,urlLength,dashNbr,underlineNbr,questionMarkNbr,andNbr,pointNbr,domainLength,hasDnsRecord,webTraffic,domainAge,domainEnd,label
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,3726,0.0,0.0,1
0,0,1,0,0,0,0,25,0,0,0,0,2,13,1,1023,219.13,8.97,1
0,0,1,0,0,0,0,29,0,0,0,0,2,17,1,47,232.57,16.73,1
0,0,1,0,0,0,0,19,0,0,0,0,2,7,1,52,335.6,8.63,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,153,206.97,2.93,1
0,0,1,0,0,0,0,26,0,0,0,0,2,14,1,530,304.4,4.8,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,896,0.0,0.0,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,45,292.43,0.43,1
0,0,1,0,0,0,0,27,0,0,0,0,2,15,1,769,206.97,11.53,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,491,0.0,0.0,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,342,0.0,0.0,1
0,0,1,0,0,0,0,32,0,0,0,0,2,20,1,667,219.17,1.6,1
0,0,1,0,1,0,1,27,0,0,0,0,3,15,1,6013,146.1,16.87,1
0,0,1,0,1,0,0,24,0,0,0,0,3,12,1,65,231.33,9.27,1
0,0,1,0,0,0,0,27,0,0,0,0,2,15,1,276,0.0,3.67,1
0,0,1,0,0,1,0,23,0,0,0,0,2,11,1,25513,24.33,14.7,1
0,0,1,0,0,0,0,19,0,0,0,0,2,7,1,1553,292.17,5.23,1
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,3132,0.0,0.0,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,1404,170.43,10.6,1
0,0,1,0,0,0,0,29,0,0,0,0,2,17,1,539,0.0,0.0,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,1586,0.0,0.0,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,3056,0.0,0.0,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,1188,267.83,11.53,1
0,0,1,0,0,0,0,28,0,0,0,0,2,16,1,226,0.0,0.0,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,520,450.43,120.23,1
0,0,1,0,0,0,0,30,0,0,0,0,2,18,1,519,0.0,0.0,1
0,0,1,0,1,0,0,21,0,0,0,0,3,9,1,480,0.0,0.0,1
0,0,1,0,0,0,0,32,0,0,0,0,2,20,1,1822,0.0,11.33,1
0,0,1,0,1,0,0,24,0,0,0,0,3,12,1,174,280.03,4.97,1
0,0,1,0,0,0,0,25,0,0,0,0,2,13,1,251,0.0,0.0,1
0,0,1,0,0,0,0,18,0,0,0,0,2,6,1,601,328.7,2.63,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,38,0.0,0.0,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,730,0.0,0.0,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,546,0.0,0.0,1
0,0,1,0,0,0,0,25,0,0,0,0,2,13,1,799,280.03,63.53,1
0,0,1,0,1,0,0,22,0,0,0,0,3,10,1,190,0.0,19.43,1
0,0,1,0,0,0,0,20,0,0,0,0,2,8,1,1056,0.0,0.0,1
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,515,243.5,10.8,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,264,262.53,7.4,1
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,4291,73.03,7.6,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,909,133.93,1.73,1
0,0,1,0,0,0,0,26,0,0,0,0,2,14,1,11909,73.03,22.37,1
0,0,1,0,0,0,0,25,0,0,0,0,2,13,1,686,316.53,113.23,1
0,0,1,0,0,0,0,19,0,0,0,0,2,7,1,163,170.43,7.47,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,9045,0.0,4.07,1
0,0,1,0,0,0,1,26,0,0,0,0,2,14,1,498,0.0,0.0,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,1466,401.8,8.03,1
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,4470,110.17,7.43,1
0,0,1,0,0,0,0,25,0,0,0,0,2,13,1,1335,0.0,0.0,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,1472,0.0,0.0,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,1597,311.0,5.47,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,32144,12.17,9.33,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,76,0.0,0.0,1
0,0,1,0,0,0,0,25,0,0,0,0,2,13,1,4212,133.9,28.2,1
0,0,1,0,0,0,0,19,0,0,0,0,2,7,1,237,0.0,0.0,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,496,0.0,0.0,1
0,0,1,0,0,0,0,20,0,0,0,0,2,8,1,204,0.0,9.67,1
0,0,1,0,0,0,0,19,0,0,0,0,2,7,1,390,0.0,0.0,1
0,0,1,0,1,0,0,22,0,0,0,0,3,10,1,1674,0.0,0.0,1
0,0,1,0,0,0,0,18,0,0,0,0,2,6,1,1080,256.93,2.23,1
0,0,1,0,0,1,0,22,0,0,0,0,2,10,1,605,304.4,31.07,1
0,0,1,0,0,0,0,28,0,0,0,0,2,16,1,2014,0.0,10.17,1
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,3324,219.17,4.77,1
0,0,1,0,1,0,0,31,0,0,0,0,3,19,1,361,0.0,20.1,1
0,0,1,0,1,0,0,22,0,0,0,0,3,10,1,828,0.0,0.0,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,1022,377.4,9.87,1
0,0,1,0,0,0,0,29,0,0,0,0,2,17,1,770,231.3,77.8,1
0,0,1,0,0,0,0,28,0,0,0,0,2,16,1,1283,231.33,10.97,1
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,931,328.73,17.67,1
0,0,1,0,0,0,0,31,0,0,0,0,2,19,1,854,280.03,37.43,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,629,0.0,0.0,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,948,0.0,0.0,1
0,0,1,0,0,0,0,27,0,0,0,0,2,15,1,7921,0.0,0.0,1
0,0,1,0,0,0,1,25,0,0,0,0,2,13,1,5578,0.0,0.0,1
0,0,1,0,1,0,0,24,0,0,0,0,3,12,1,485,85.2,2.37,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,19819,133.93,14.03,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,262,146.1,12.8,1
0,0,1,0,0,0,0,31,0,0,0,0,2,19,1,1775,0.0,0.0,1
0,0,1,0,0,0,0,29,0,0,0,0,2,17,1,2116,0.0,0.0,1
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,4847,0.0,0.0,1
0,0,1,0,0,0,0,18,0,0,0,0,2,6,1,411,0.0,0.0,1
0,0,1,0,1,0,0,24,0,0,0,0,3,12,1,1804,304.37,8.1,1
0,0,1,0,1,0,0,31,0,0,0,0,3,19,1,375,0.0,7.83,1
0,0,1,0,0,0,0,31,0,0,0,0,2,19,1,2303,133.93,48.27,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,492,0.0,7.33,1
0,0,1,0,0,0,0,26,0,0,0,0,2,14,1,2530,0.0,7.8,1
0,0,1,0,0,0,0,27,0,0,0,0,2,15,1,2885,0.0,0.0,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,19124,48.7,2.3,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,263,377.4,51.07,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,2918,243.5,34.93,1
0,0,1,0,0,0,0,25,0,0,0,0,2,13,1,614,0.0,0.0,1
0,0,1,0,0,0,0,20,0,0,0,0,2,8,1,6816,0.0,0.0,1
0,0,1,0,0,0,0,29,0,0,0,0,2,17,1,1786,158.27,12.4,1
0,0,1,0,0,1,0,21,0,0,0,0,2,9,1,1115,231.33,29.93,1
0,0,1,0,0,0,1,27,0,0,0,0,2,15,1,3359,328.7,13.13,1
0,0,1,0,0,0,0,26,0,0,0,0,2,14,1,7265,353.03,48.67,1
0,0,1,0,0,0,0,19,0,0,0,0,2,7,1,739,0.0,0.0,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,1126,0.0,0.0,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,634,0.0,0.0,1
0,0,1,0,0,0,1,18,0,0,0,0,2,6,1,1874,0.0,2.4,1
0,0,1,0,1,0,0,31,0,0,0,0,3,19,1,1225,0.0,0.0,1
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,15754,0.0,0.0,1
0,0,1,0,0,0,0,27,0,0,0,0,2,15,1,1374,377.4,59.7,1
0,0,1,0,0,0,0,27,0,0,0,0,2,15,1,2209,194.8,4.9,1
0,0,1,0,1,0,0,31,0,0,0,0,3,19,1,353,280.0,11.63,1
0,0,1,0,1,0,0,27,0,0,0,0,3,15,1,1356,0.0,10.47,1
0,0,1,0,1,0,1,28,0,0,0,0,3,16,1,4403,121.77,1.23,1
0,0,1,0,1,0,0,25,0,0,0,0,3,13,1,2184,0.0,2.0,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,1692,0.0,3.0,1
0,0,1,0,0,0,0,31,0,0,0,0,2,19,1,2118,304.33,15.87,1
0,0,1,0,0,0,0,21,0,0,0,0,2,9,1,1538,304.33,18.83,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,493,292.17,9.73,1
0,0,1,0,0,0,0,33,0,0,0,0,2,21,1,2521,353.07,34.63,1
0,0,1,0,0,0,0,28,0,0,0,0,2,16,1,1913,0.0,12.23,1
0,0,1,0,0,0,0,25,0,0,0,0,2,13,1,5407,219.17,4.37,1
0,0,1,0,0,0,0,25,0,0,0,0,2,13,1,419,0.0,8.43,1
0,0,1,0,0,0,0,25,0,0,0,0,2,13,1,18933,0.0,0.0,1
0,0,1,0,0,0,0,25,0,0,0,0,2,13,1,1227,267.83,10.67,1
0,0,1,0,0,0,0,20,0,0,0,0,2,8,1,2144,328.7,18.8,1
0,0,1,0,0,0,0,18,0,0,0,0,2,6,1,1646,0.0,0.0,1
0,0,1,0,0,0,0,25,0,0,0,0,2,13,1,2629,0.0,0.0,1
0,0,1,0,0,0,0,30,0,0,0,0,2,18,1,329,194.8,8.4,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,998,0.0,6.43,1
0,0,1,0,0,0,0,29,0,0,0,0,2,17,1,2292,0.0,0.0,1
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,337,0.0,0.0,1
0,0,1,0,0,0,0,26,0,0,0,0,2,14,1,463,0.0,0.0,1
0,0,1,0,0,1,0,26,0,0,0,0,2,14,1,3760,292.2,87.4,1
0,0,1,0,0,0,0,29,0,0,0,0,2,17,1,6824,0.0,0.0,1
0,0,1,0,0,0,0,19,0,0,0,0,2,7,1,819,0.0,0.0,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,1975,0.0,10.03,1
0,0,1,0,0,0,0,30,0,0,0,0,2,18,1,1539,292.17,8.1,1
0,0,1,0,0,0,0,25,0,0,0,0,2,13,1,1649,0.0,0.0,1
0,0,1,0,0,1,0,19,0,0,0,0,2,7,1,364,353.1,81.2,1
0,0,1,0,0,0,0,22,0,0,0,0,2,10,1,69,316.53,3.0,1
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,1101,0.0,0.0,1
0,0,1,0,0,0,0,24,0,0,0,0,2,12,1,12648,0.0,0.0,1
0,0,1,0,0,0,0,18,0,0,0,0,2,6,1,256,0.0,0.0,1
0,0,1,0,0,0,0,19,0,0,0,0,2,7,1,2226,0.0,0.0,1
0,0,1,0,0,0,0,25,0,0,0,0,2,13,1,2340,0.0,0.0,1
0,0,1,0,0,0,0,27,0,0,0,0,2,15,1,397,0.0,10.5,1
0,0,1,0,0,0,0,23,0,0,0,0,2,11,1,149,0.0,0.0,1
0,0,1,0,1,0,1,28,0,0,0,0,3,16,1,1839,0.0,0.0,1
